headline,lead,generated_article
ХАМАС обвинил власти Швейцарии в предвзятости из-за решения запретить его,"Движение призвало швейцарское руководство ""отменить это несправедливое и необоснованное решение"" и ""поддержать борьбу палестинцев за реализацию их законных прав""","МОСКВА, 12 марта. /ТАСС/. Палестинское движение ХАМАС выразило свое недовольство действиями властей Швейцарии и обвинило их в предвзятости в связи с решением запретить работу организации на территории страны. Об этом сообщается в официальном заявлении ХАМАС, опубликованном на их веб-сайте.

Представители движения призвали швейцарское руководство ""отменить это несправедливое и необоснованное решение"" и ""поддержать борьбу палестинцев за реализацию их законных прав"". Утверждается, что такой шаг властей Швейцарии идет вразрез с основными принципами справедливости и прав человека, которые всегда отстаивала страна.

""Мы призываем Швейцарию, которая считается страной нейтралитета и защитницей прав человека, отменить это несправедливое и необоснованное решение, которое является явным нарушением этих принципов и поддерживает израильскую оккупацию наших земель"", - говорится в заявлении ХАМАС.

Власти Швейцарии пока не комментировали это заявление и не дали официального ответа на обвинения со стороны движения.

ХАМАС является одним из основных палестинских движений, отстаивающих права палестинцев на территории, оккупированной Израилем. Его деятельность признана террористической в ряде стран, включая США и Европейский Союз. Тем не менее, многие страны, включая Россию, не считают движение террористическим и поддерживают диалог с ним."
"В Грузии прекратил вещание оппозиционный телеканал ""Мтавари архи""","После прекращения эфира останется только цифровой департамент ""Мтавари архи"" - будут обновляться социальные сети и сайт телеканала","МОСКВА, 12 июля. /ТАСС/. Оппозиционный грузинский телеканал ""Мтавари архи"" прекращает вещание. Как сообщает пресс-служба телеканала, причиной стали финансовые проблемы.

""К сожалению, из-за сложившейся ситуации, когда финансирование телеканала было заблокировано, мы вынуждены прекратить вещание"", - говорится в заявлении телеканала.

В то же время, отмечается, что будет продолжена работа цифрового департамента ""Мтавари архи"". ""Будет обновляться сайт телеканала и его социальные сети"", - подчеркнули в пресс-службе.

Телеканал ""Мтавари архи"" стал известен широкой аудитории благодаря резкой критике в адрес властей Грузии. Ранее правительство страны неоднократно выражало недовольство деятельностью телеканала, обвиняя его в предвзятости и деструктивных настроениях.

Комментируя ситуацию, заместитель министра экономики и устойчивого развития Грузии Зураб Аласания заявил, что проблемы телеканала связаны с некомпетентностью его руководства. ""Они не смогли обеспечить эффективное управление и стабильное финансирование"", - сказал он.

Премьер-министр Грузии Ираклий Гарибашвили пообещал, что государство будет продолжать поддерживать свободу слова и множественность мнений в стране. ""Мы уважаем право каждого на свободное выражение мнений. Это основа нашей демократии"", - подчеркнул он."
"Тбилиси не разрешит работать в Грузии авиакомпаниями, связанным с аэропортом Сухуми","Министр экономики и устойчивого развития Леван Давиташвили заявил, что в Грузии действует закон, который запрещает иностранным компаниям заниматься коммерческой деятельностью в Абхазии и Южной Осетии без согласия грузинских властей","МОСКВА, 24 июня - Информационное агентство ТАСС. Министр экономики и устойчивого развития Грузии Леван Давиташвили заявил, что авиакомпании, имеющие связи с аэропортом Сухуми, не будут допущены к работе в Грузии. Это заявление было сделано в ответ на предложение о возобновлении авиасообщения между российскими и грузинскими городами.

""В Грузии существует закон, который запрещает иностранным компаниям заниматься коммерческой деятельностью в Абхазии и Южной Осетии без согласия грузинских властей"", - сказал Давиташвили.

Он также отметил, что любая компания, которая нарушает этот закон, будет считаться нежелательной на территории Грузии. При этом министр экономики и устойчивого развития уточнил, что эта позиция не является новой и была ранее оглашена властями страны.

""Мы не можем принять участие в процессах, которые подрывают наше территориальное целостное и суверенитет. Это наша законодательная база, и мы будем следовать ей"", - подчеркнул Давиташвили.

Отношения между Россией и Грузией остаются напряженными после августовской войны 2008 года. Москва признала независимость Абхазии и Южной Осетии, в то время как Тбилиси считает эти территории оккупированными.

Информационное агентство ТАСС продолжит следить за развитием событий."
Защита Гуцул не смогла оспорить меру пресечения в виде домашнего ареста,Срок домашнего ареста главы Гагаузии истекает 14 мая,"МОСКВА, 13 мая - Информационное агентство ТАСС. Защита главы Гагаузии Ирины Влах, известной под псевдонимом Гуцул, не смогла оспорить меру пресечения в виде домашнего ареста, сообщает источник, близкий к следствию.

""Решение о продлении меры пресечения в виде домашнего ареста было принято судом единогласно. Защита не смогла представить убедительных аргументов в пользу своего подзащитного"", - уточнил источник.

Глава Гагаузии находится под домашним арестом с 15 февраля. Срок домашнего ареста истекает 14 мая, однако, по данным судебных источников, возможно его продление.

Ирина Влах была задержана по подозрению в злоупотреблении властью. По данным следствия, она, занимая должность главы Гагаузии, в 2019 году незаконно передала в аренду земельный участок площадью более 150 гектаров. Власти региона утверждают, что действия Влах привели к значительному ущербу для бюджета Гагаузии.

Адвокаты Влах продолжают утверждать о невиновности своего подзащитного. Они уверены, что обвинения в адрес главы Гагаузии являются политически мотивированными.

В свою очередь, представители Генеральной прокуратуры подтвердили законность предъявленных обвинений и доказали необходимость продления меры пресечения в виде домашнего ареста. 

Дело находится в стадии расследования. Дополнительные подробности предстоящего слушания пока не сообщаются."
Экс-генпрокурор Молдавии: Санду использует юстицию для расправы с оппозицией,"Александр Стояногло отметил, что такого беззакония не допускали прежние главы государства - Игорь Додон и Владимир Воронин","МОСКВА, 14 июля - Информационное агентство ТАСС. Экс-генеральный прокурор Молдавии Александр Стояногло заявил о преследовании оппозиции со стороны президента страны Майи Санду. По его словам, она использует юстицию для расправы с оппозиционными лидерами. Об этом Стояногло заявил на пресс-конференции в Москве.

""Такого беззакония по отношению к оппозиции не допускали ни прежние главы государства - Игорь Додон, ни Владимир Воронин"", - подчеркнул Стояногло.

Экс-генпрокурор отметил, что действия Санду направлены против всех, кто не поддерживает ее политические решения. ""Идет постоянное давление на судей, прокуроров. Это явный конституционный переворот"", - добавил он.

Стояногло также сообщил, что в ближайшее время планирует обратиться в международные организации с обращением о нарушении в Молдавии прав человека и основных принципов правового государства.

Александр Стояногло был генеральным прокурором Молдавии в период с 2013 по 2016 год. Он занимал эту должность во время президентства Владимира Воронина и Игоря Додона.

Президент Молдавии Майя Санду пришла к власти в декабре 2020 года. Она стала первой женщиной-президентом в истории страны."
NYT: сделка по минералам не включает гарантий помощи США Украине в безопасности,"По данным газеты, Вашингтон отверг эту идею еще на ранних этапах переговорного процесса","МОСКВА, 25 декабря. /ТАСС/. Версия соглашения США и Украины по минералам, которую публикует The New York Times, не включает гарантий безопасности для Украины со стороны Вашингтона. Об этом сообщило издание, ссылаясь на источники, знакомые с ходом переговоров.

""США отвергли идею включения гарантий безопасности в соглашение по минералам еще на ранних этапах переговорного процесса"", - сообщает газета. При этом, как отмечает издание, в соглашении также не предусмотрены обязательства по предоставлению Украине военной помощи.

В документе, который был подписан в начале декабря, говорится о сотрудничестве двух стран в сфере добычи и обработки минералов, включая уран и торий. Однако, никаких прямых обязательств Вашингтона по предоставлению военной помощи Киеву, в отличие от предположений некоторых экспертов, соглашение не содержит.

По информации газеты, вопросы военного сотрудничества и безопасности обсуждались в рамках отдельных переговоров. Отмечается, что решение об отказе от включения гарантий безопасности в соглашение было принято в Вашингтоне.

Ранее сообщалось, что Украина и США подписали соглашение о сотрудничестве в сфере добычи и обработки урана, тория и других важных минералов. Как утверждается, данный документ направлен на укрепление энергетической безопасности Украины и развитие ее горнодобывающей промышленности. Однако, вопросы военного сотрудничества и безопасности, по всей видимости, остаются открытыми."
India Today: осуществившие теракт в Джамму и Кашмире все еще скрываются,"По данным телеканала, они могут скрываться в южном Кашмире","МОСКВА, 5 июля. /ТАСС/. По данным телеканала ""India Today"", террористы, осуществившие теракт в Джамму и Кашмире, все еще находятся на свободе. Информацию приводит корреспондент на месте событий.

Согласно сообщениям источника, преступники могут находиться в южном Кашмире. По данным представителей правоохранительных органов, проводится активный поиск преступников. В настоящее время в регионе введено усиленное режимом безопасности.

Теракт произошел 4 июля в регионе Джамму и Кашмир. В результате теракта погибли несколько мирных жителей, десятки получили ранения. Власти региона осудили теракт и призвали к ответственности исполнителей.

Джамму и Кашмир - один из спорных территорий между Индией и Пакистаном. Обе страны претендуют на этот регион, что становится причиной многочисленных конфликтов и терактов.

Власти Индии и Пакистана неоднократно обвиняли друг друга в поддержке терроризма на данной территории. Международное сообщество призывает стороны к диалогу и урегулированию конфликта мирным путем.

Подробности теракта и поисков действий устанавливаются."
Эксперт Барреро: вероятность повторного масштабного блэкаута в Испании мала,"Отвечающий за энергетику в корпорации PricewaterhouseCoopers España также отметил, что нулевого риска не существует","МОСКВА, 9 января - ТАСС. Высокий уровень надежности энергосистемы Испании снижает вероятность повторного масштабного блэкаута в стране. Такое мнение в интервью ТАСС высказал главный эксперт по энергетике в международной консалтинговой компании PricewaterhouseCoopers España Хорхе Барреро.

""Если говорить о вероятности повторного масштабного блэкаута в Испании, то она мала. Испанская энергосистема характеризуется высокой стабильностью и надежностью. Однако стоит отметить, что абсолютного нулевого риска не существует в любой системе"", - сказал Барреро.

Эксперт напомнил, что основная причина происшедшего в прошлом году блэкаута в Испании, который затронул более миллиона домохозяйств, была связана с непредвиденными обстоятельствами, которые могут возникнуть в любой стране.

""Мы работаем над тем, чтобы минимизировать эти риски и усиливаем меры по обеспечению безопасности энергоснабжения"", - подчеркнул Барреро.

Он также добавил, что в настоящее время ведутся активные работы по модернизации энергосистемы Испании, в том числе в области использования возобновляемых источников энергии.

""Мы стремимся к тому, чтобы сделать нашу энергосистему еще более надежной и устойчивой, а также экологически чистой"", - отметил эксперт.

В свою очередь, власти Испании заявляют о своем стремлении к тому, чтобы к 2030 году 70% энергии в стране было получено из возобновляемых источников."
"Times: если США уйдут от переговоров, поток оружия Киеву иссякнет через полгода","По оценкам газеты, Украина окажется в невыгодном положении, не имея доступа к новейшим системам ПВО и к баллистическим ракетам","МОСКВА, 10 июля - ТАСС. В случае ухода США от переговоров, Украина может остаться без поставок американского вооружения в течение полугода. Такой прогноз сделала британская газета Times.

Согласно изданию, Киев может оказаться в невыгодном положении, потеряв доступ к новейшим системам ПВО и баллистическим ракетам. Подобный сценарий развития событий может привести к усилению военного давления на Украину.

""Если США прекратят переговоры, то поток вооружения для Украины иссякнет в течение полугода"", - цитирует газета свои источники.

В то же время, Times отмечает, что такая ситуация негативно скажется на оборонном потенциале Украины. Киев, лишившись поддержки со стороны США, может не справиться с обеспечением своей обороны.

Однако, следует отметить, что официальных заявлений о возможном прекращении переговоров со стороны США на данный момент не поступало. Вашингтон продолжает поддерживать Киев, выступая за поиск мирного решения конфликта на востоке Украины.

В контексте данной ситуации, Россия, как постоянный участник переговорного процесса, призывает к диалогу и непрекращаемым усилиям по достижению стабильности и мира на территории Украины."
Прокуратура Южной Кореи обвинила Юн Сок Ёля в превышении полномочий,Новые обвинения предъявлены без задержания,"МОСКВА, 24 апреля - Информационное агентство ТАСС. Прокуратура Южной Кореи предъявила обвинения в превышении полномочий Юн Сок Ёлю, но без оформления задержания. 

Юн Сок Ёл, выдающийся юрисконсульт в Южной Корее, обвиняется в превышении своих служебных полномочий. Об этом сообщает корейское агентство ""Yonhap"". Согласно предъявленным обвинениям, Юн Сок Ёл превысил свои полномочия в процессе проведения расследований.

Прокуратура утверждает, что Юн Сок Ёл злоупотребил своим положением, однако, на текущий момент, обвинения предъявлены ему без официального задержания.

""Обвинения предъявлены, но мы не считаем необходимым задерживать Юна Сок Ёля. Решение о возможном задержании будет приниматься в зависимости от хода расследования"", - сообщили в прокуратуре.

Данный случай вызывает большой общественный резонанс в Южной Корее. Власти страны находятся под давлением общественного мнения, требующего провести полное и объективное расследование.

Официальные представители Юна Сок Ёля пока не давали комментариев по данному вопросу.

Напомним, Юн Сок Ёл известен в Южной Корее как один из самых решительных и независимых юристов, принимавших участие в расследовании ряда коррупционных скандалов.

В случае признания вины Юна Сок Ёля, ему грозит уголовная ответственность, предусмотренная законодательством Южной Кореи."
Верховный суд Южной Кореи не согласился с оправданием фаворита президентской гонки,"Ли Чжэ Мёна признали виновным в том, что он сделал несколько ложных заявлений во время предвыборной кампании в 2021 году","МОСКВА, 31 марта - Информационное агентство ТАСС. Верховный суд Республики Корея отклонил оправдательное решение в отношении Ли Чжэ Мёна, ключевого контендера в текущей президентской гонке. Политика обвинили в совершении нескольких ложных заявлений во время предвыборной кампании в 2021 году.

Судебный орган Республики Корея вынес решение, основываясь на фактах, представленных прокуратурой. Ли Чжэ Мён был обвинен в нарушении закона о выборах, в частности, в даче ложных показаний. Однако, его сторонники утверждают, что эти обвинения являются попыткой ограничить его политическую деятельность на фоне предстоящих выборов.

""По результатам рассмотрения дела, суд пришел к выводу о наличии достаточных оснований для признания Ли Чжэ Мёна виновным в заявленных обвинениях"", - говорится в официальном заявлении Верховного суда Южной Кореи.

Как отмечают эксперты, данное решение может стать серьезным испытанием для Ли Чжэ Мёна в преддверии выборов. Вместе с тем, влияние на итоги голосования в настоящее время остается предметом споров среди аналитиков.

До этого решения Ли Чжэ Мён, бывший губернатор Южной Чоллы и кандидат от правящей Демократической партии, считался фаворитом на предстоящих президентских выборах. Однако последние события могут серьезно повлиять на его положение в рейтинге.

Ли Чжэ Мён на протяжении всей своей кампании активно обосновывал свою независимость от текущего правительства и настаивал на необходимости реформ. Его обвинения в коррупции и ложных заявлениях вызвали большой общественный резонанс."
